Link,Tiêu đề,Địa chỉ,Mức giá,Giá/m²,Số phòng ngủ,Huyện,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Latitude,Longitude
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-nhanh-don-lap-gia-re-nhat-truong-pr40472795,"Tống Diễn 0944 866 ***. Bán nhanh biệt thự đơn lập Ecopark, giá rẻ nhất thị trường","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",67 tỷ,"~118,17 triệu/m²",4 phòng,Văn Giang,567 m²,20 m,6 m,Tây - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.97422218322754,105.9221420288086
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/chi-103-tr-m2-ban-can-shophouse-xe-khe-chan-de-chung-cu-105-m2-gia-10-9-ty-cam-ket-re-nhat-vin-3-pr40587592,Chỉ 104 tr/m2. Bán căn shophouse xẻ khe chân đế chung cư 105m2. Giá 11 tỷ cam kết rẻ nhất Vin 3,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",11 tỷ,"~104,76 triệu/m²",5 phòng,Văn Giang,105 m²,7 m,13 m,Tây - Nam,Tây - Nam,5 tầng,3 phòng,Hợp đồng mua bán,20.9414844512939,105.956901550293
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/chiet-khau-cao-nhat-01-can-pho-bien-canh-ho-cat-trang-mat-tien-6m-chi-9-x-ty-so-luong-cuc-it-pr40459722,"CK23% + Quỹ thưởng Căn góc, áp góc ""Shop Vịnh Thiên Đường cổng biển, đg 30m"" Ocean Park3 0346 748 ***","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","8,6 tỷ","~143,33 triệu/m²",,Văn Giang,60 m²,7 m,,,,5 tầng,,Sổ đỏ/ Sổ hồng,20.9414844512939,105.956901550293
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/quy-can-doc-quyen-gia-cu-chua-tang-gia-chiet-khau-ve-o-som-tang-vang-tan-gia-tang-voucher-vinmec-pr40858805,Cần bán căn xẻ khe mặt tiền 8m cạnh đường lớn gần các đại tiện ích của đô thị gần các tòa chung cư,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","10,5 tỷ","~116,67 triệu/m²",,Văn Giang,90 m²,6 m,13 m,Đông - Nam,Đông - Nam,5 tầng,,Hợp đồng mua bán,20.941484451293945,105.95690155029297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/quy-can-chiet-khau-tot-nhat-day-du-qua-tang-cap-nhat-5-9-2024-oceanpark-3-pr40839580,"Quỹ căn Chiết khấu tốt nhất, đầy đủ quà tặng cập nhật 9/9/2024 Vinhomes Ocean Park 3","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","7,8 tỷ",~130 triệu/m²,5 phòng,Văn Giang,60 m²,4 m,13 m,Đông - Nam,Đông - Nam,5 tầng,5 phòng,Hợp đồng mua bán,20.9414844512939,105.956901550293
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/can-goc-don-lap-dao-dua-24-3-ty-chiet-khau-20-tang-ngay-5-cay-vang-tri-gia-375-trieu-pr39234897,Quỹ độc quyền căn 2 mặt tiền song lập Đảo Dừa 30 tỷ. Được trừ chiết khấu 10 tỷ. View sông công viên,"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",30 tỷ,"~166,67 triệu/m²",6 phòng,Văn Giang,180 m²,10 m,20 m,Đông - Nam,Đông - Nam,4 tầng,4 phòng,,20.9424362182617,105.955299377441
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/ban-nhanh-lk-84m2-nhinh-8ty-re-nhat-khu-co-xanh-2-empire-pr40866666,"Bán nhanh, LK 84m2 nhỉnh 8 tỷ rẻ nhất khu Cọ Xanh. Vinhomes Ocean Park 2 The Empire","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",Thỏa thuận,,4 phòng,Văn Giang,84 m²,6 m,13 m,,,5 tầng,4 phòng,Hợp đồng mua bán,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/hiem-lk-pho-bien-vin-3-re-nhat-nhinh-9ty-78m2-gan-pho-di-bo-canh-goc-dau-hoi-pr40783775,"Duy nhất, căn LK Phố Biển 78m2 nhỉnh 9tỷ. Gần phố đi bộ, cạnh góc đầu hồi, kinh doanh","Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên",Thỏa thuận,,4 phòng,Văn Giang,78 m²,6 m,15 m,,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.9414844512939,105.956901550293
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/chuyen-ban-hang-goc-goc-xe-khe-vin2-3-dt-tu-72m2-gia-cuc-ki-tot-nhinh-8-ti-lh-e-cuong-pr40866260,"Chuyên bán hàng góc, góc xẻ khe Vin Ocean Park DT từ 72m2 giá cực kì tốt nhỉnh 8 tỷ","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","8,2 tỷ","~113,89 triệu/m²",7 phòng,Văn Giang,72 m²,,,,,4 tầng,5 phòng,Hợp đồng mua bán,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-long-hung-prj-masteri-ocean-park-2/ban-nha-cao-cap-tai-vinhomes-ocp2-gia-re-nhat-huong-mat-nhat-thanh-toan-gian-pr40598682,"Bán nhà chung cư cao cấp tại Vinhomes OCP2 giá rẻ nhất, hướng mát nhất, thanh toán giãn","Dự án Masteri Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","7,5 tỷ","~68,18 triệu/m²",3 phòng,Văn Giang,110 m²,,,Tây - Bắc,Đông - Nam,,2 phòng,,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/duy-nhat-5-can-song-lap-pho-bien-vin-3-mat-tien-rong-toi-8m-gia-11-7-ty-vua-o-kinh-doanh-pr40840496,Duy nhất 5 căn biệt thự song lập Phố Biển Vin 3 mặt tiền rộng tới 8m giá 11.7 tỷ vừa ở + kinh doanh,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","11,7 tỷ","~112,5 triệu/m²",6 phòng,Văn Giang,104 m²,8 m,13 m,Tây - Bắc,Tây - Bắc,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,20.941484451293945,105.95690155029297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/thoi-dai-pho-bien-gan-chung-cu-chua-bao-gio-het-hot-gia-chi-tu-97tr-m2-cam-ket-hang-that-gia-re-pr40642825,Thời Đại - Phố Biển - quỹ căn cuối cùng có chính sách ngâu full CK lên đến 20% hot nhất OceanPark 3,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","8,9 tỷ","~98,89 triệu/m²",,Văn Giang,90 m²,6 m,13 m,Đông - Bắc,Đông - Bắc,5 tầng,,Hợp đồng mua bán,20.941484451293945,105.95690155029297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/quy-can-van-giu-chinh-sach-thang-ngau-26-chiet-khau-tang-vang-va-voucher-vinmec-chua-tang-gia-pr40835760,"Quỹ căn vẫn giữ chính sách tháng ngâu, 26% chiết khấu, tặng vàng và voucher Vinmec chưa tăng giá","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","7,7 tỷ","~137,5 triệu/m²",5 phòng,Văn Giang,56 m²,5 m,13 m,Đông - Nam,Đông - Nam,5 tầng,5 phòng,Hợp đồng mua bán,20.9424362182617,105.955299377441
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/can-ban-gap-chi-tu-2-4-ty-dau-tu-shophouse-vip-co-hoi-x2-trong-2-nam-toi-pr39814403,"Cơ hội duy nhất tháng 08 với CS chiết khấu lên tới 26% kèm 16 chỉ vàng, voucher Vimec 200 triệu","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên","8,5 tỷ","~94,44 triệu/m²",,Văn Giang,90 m²,,,,,,,,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-long-hung-prj-lumiere-springbay/-thien-duong-nghi-duong-view-pho-bien-royal-wave-park-18ha-ocean-park2-ck-toi-20-pr40780958,"Lumière Spring Bay - thiên đường nghỉ dưỡng view phố biển Royal Wave Park 18ha Ocean Park 2, CK 20%","Dự án Lumiere SpringBay, Xã Long Hưng, Văn Giang, Hưng Yên",Thỏa thuận,,2 phòng,Văn Giang,60 m²,,,,,,2 phòng,Sổ đỏ/ Sổ hồng,20.952280044555664,105.98131561279297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/con-duy-nhat-1-can-dt-91m-huong-dong-nam-gan-2-dai-cong-vien-gia-re-nhat-du-an-ib-pr40827929,Còn duy nhất 1 căn biệt thự liền kề DT 91m2 hướng Đông Nam gần 2 đại công viên giá rẻ nhất dự án ib,"The Empire - Vinhomes Ocean Park 2, Long Hưng, Văn Giang, Hưng Yên",109 triệu/m²,"~9,92 tỷ",,Văn Giang,91 m²,7 m,,Đông - Nam,,5 tầng,,,20.9394400088486,105.955756894198
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-nghia-tru-prj-the-crown-vinhomes-ocean-park-3/ban-can-75m2-kinh-doanh-doi-dien-sanh-chung-cu-masterise-dang-khoi-cong-pr40825273,Bán căn liền kề 75m2 kinh doanh đối diện Sảnh Chung cư Masterise đang khởi công,"Dự án The Crown - Vinhomes Ocean Park 3, Xã Nghĩa Trụ, Văn Giang, Hưng Yên","9,6 tỷ",~128 triệu/m²,5 phòng,Văn Giang,75 m²,5 m,,,,5 tầng,4 phòng,,20.941484451293945,105.95690155029297
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/-dao-dua-khu-kin-dt-56-63-64-70-80-96-180m2-htls-0-36-thang-chiet-khau-27-pr40758468,"Biệt thự liền kề Đảo Dừa khu kín DT 56, 63, 64m2 70, 80, 96, 180m2. HTLS 0% 36 tháng chiết khấu 27%","Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",8 tỷ,"~126,98 triệu/m²",,Văn Giang,63 m²,,,,,,,,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/chi-tu-960tr-so-huu-2pn-dt-73m-tai-htls-0-qua-tang-60tr-ck6-tts-pr40839002,"Chỉ từ 960tr sở hữu căn hộ 2PN DT 73m2 tại The Fibonan, HTLS 0% - quà tặng 60tr, CK 6% TTS","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","3,69 tỷ","~50,14 triệu/m²",2 phòng,Văn Giang,"73,6 m²",,,,,,2 phòng,Hợp đồng mua bán,20.962055206298828,105.93180084228516
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-rung-thong-xa-xuan-quan-prj-the-fibonan-ecopark/qua-tang-100tr-ck-6-chi-tu-800tr-so-huu-2-3pn-du-an-ke-song-bac-hung-hai-pr40849836,Hot! 05 suất ngoại giao cuối cùng tháng ngâu căn 2-3N giá tốt nhất dự án The Fibonan+quà tặng 80tr,"Dự án The Fibonan Ecopark, Đường Rừng Thông, Xã Xuân Quan, Văn Giang, Hưng Yên","2,9 tỷ","~51,79 triệu/m²",2 phòng,Văn Giang,56 m²,,,Tây - Bắc,Đông - Nam,,,Sổ đỏ/ Sổ hồng,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/tu-3-6ty-so-huu-cao-cap-2pn-lien-ke-cum-4-cong-vien-co-slot-oto-chinh-sach-tot-pr40870780,"Từ 3.6tỷ sở hữu căn hộ cao cấp 2PN liền kề cụm 4 công viên Ecopark, có slot oto, chính sách tốt","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên",Thỏa thuận,,2 phòng,Văn Giang,68 m²,,,,,,,,20.962055206298828,105.93180084228516
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/-chinh-chu-gia-dinh-toi-ban-duplex-cao-cap-150m2-full-view-song-hong-cuc-dep-pr40846312,"(Chính chủ) Gia đình tôi cần bán căn Duplex cao cấp 150m2 Ecopark full đồ, view sông Hồng cực đẹp","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên","9,2 tỷ","~61,33 triệu/m²",3 phòng,Văn Giang,150 m²,,,,,,3 phòng,Sổ đỏ/ Sổ hồng,20.97422218322754,105.9221420288086
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/truc-tiep-cdt-ban-gia-tot-nhat-mua-o-hay-dau-tu-chi-tu-850tr-ls-0-full-tu-bep-dieu-a-pr40164078,Trực tiếp CĐT bán căn hộ giá tốt nhất mua ở hay đầu tư chỉ từ 850tr + LS 0% full tủ bếp + điều hòa,"Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","2,8 tỷ","~47,61 triệu/m²",2 phòng,Văn Giang,"58,81 m²",,,,,,2 phòng,HĐ,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/em-giang-pkd-chia-se-6-yeu-to-hoi-tu-tai-ck-7-gtch-htls-0-24th-qua-tan-gia-100tr-pr40588012,"Em Giang PKD chia sẻ 6 yếu tố hội tụ tại The Fibonan,căn 3N 79m2 CK 7%,HTLS 0% 24th, tân gia 100tr","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","3,9 tỷ","~49,37 triệu/m²",3 phòng,Văn Giang,79 m²,,,Đông - Nam,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-cuu-cao-prj-the-fibonan-ecopark/ban-2pn-dep-nhat-du-an-ban-cong-dong-nam-view-song-san-golf-3-5ty-htls-0-ck6-60-trieu-pr40796423,"Bán căn 2PN đẹp nhất dự án ban công Đông Nam view sông, sân golf 3.5tỷ, HTLS 0%, CK 6% + 60 triệu","Dự án The Fibonan Ecopark, Xã Cửu Cao, Văn Giang, Hưng Yên","3,5 tỷ","~51,47 triệu/m²",2 phòng,Văn Giang,68 m²,,,Tây - Bắc,Đông - Nam,,2 phòng,HĐMB,20.9620552062988,105.931800842285
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/em-giang-pkd-chu-dau-tu-chi-600tr-so-huu-ngay-2pn-ck-9-htls-0-trong-24th-qua-tang-25tr-pr39641609,"Em Giang PKD chủ đầu tư giảm ngay 300tr căn hộ 2PN CK 9%, HTLS 0% trong 24th, quà tặng tân gia 45tr","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên","3,1 tỷ","~47,69 triệu/m²",2 phòng,Văn Giang,65 m²,,,Đông - Nam,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,20.962055206298828,105.93180084228516
https://batdongsan.com.vn/ban-dat-xa-dong-tao/346m2-duong-xe-tai-gan-song-mat-tien-13-35m-thich-hop-dau-tu-de-o-pr40746970,"346m2 đường xe tải gần sông, mặt tiền 13,35m thích hợp đầu tư để ở","Xã Đông Tảo, Khoái Châu, Hưng Yên",11 triệu/m²,"~3,81 tỷ",,Khoái Châu,346 m²,"13,35 m",,,,,,Sổ đỏ,20.8916905596844,105.955354983578
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-nhanh-don-lap-319-m2-36-5-ty-pr40583999,"Tống Diễn 0944 866 ***. Bán nhanh biệt thự đơn lập Ecopark, 319 m2, 36.5 tỷ","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên","36,5 tỷ","~114,42 triệu/m²",4 phòng,Văn Giang,319 m²,18 m,6 m,Tây - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.9742221832275,105.922142028809
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-gap-tho-20-5-ty-pr39820802,"Tống Diễn 0944 866 ***. Bán song lập Vườn Tùng Ecopark, nhà thô, hoàn thiện mặt ngoài, giá chuẩn","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",22 tỷ,"~135,8 triệu/m²",4 phòng,Văn Giang,162 m²,20 m,6 m,Đông - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng.,20.97422218322754,105.9221420288086
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-truc-1-xa-xuan-quan-prj-khu-do-thi-ecopark/tong-dien-ban-nhanh-don-lap-gia-re-nhat-truong-pr40472795,"Tống Diễn 0944 866 ***. Bán nhanh biệt thự đơn lập Ecopark, giá rẻ nhất thị trường","Dự án Ecopark, Đường Trúc, Xã Xuân Quan, Văn Giang, Hưng Yên",67 tỷ,"~118,17 triệu/m²",4 phòng,Văn Giang,567 m²,20 m,6 m,Tây - Nam,,3 tầng,4 phòng,Sổ đỏ/ Sổ hồng,20.97422218322754,105.9221420288086
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/mo-ban-quy-tang-dep-tro-vay-0-ck-6-qua-tang-80tr-free-dv-2-nam-pr40870702,"Mở bán quỹ căn tầng đẹp chung cư The Fibonan, hỗ trợ vay 0%, CK 6%, quà tặng 80tr, free DV 2 năm","Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên",Thỏa thuận,,2 phòng,Văn Giang,68 m²,,,,,,,,20.962055206298828,105.93180084228516
https://batdongsan.com.vn/ban-nha-mat-pho-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/ban-hai-tien-kinh-doanh-cuc-ky-sam-uat-sat-danh-tam-toa-chung-cu-pr40869686,Bán nhà phố hai mặt tiền kinh doanh cực kỳ sầm uất cạnh tám toà chung cư,"Dự án The Empire - Vinhomes Ocean Park 2, Xã Long Hưng, Văn Giang, Hưng Yên",17 tỷ,"~160,38 triệu/m²",5 phòng,Văn Giang,106 m²,6 m,20 m,Tây - Nam,Đông - Bắc,6 tầng,6 phòng,,20.94243621826172,105.9552993774414
https://batdongsan.com.vn/ban-can-ho-chung-cu-xa-xuan-quan-prj-the-fibonan-ecopark/mo-ban-doc-quyen-toa-nam-o-trung-tam-kdt-voi-chinh-sach-uu-dai-truc-tiep-tu-cdt-pr40429926,Sở hữu căn hộ 2PN 3PN giá sốc tòa The Fibonan KĐT Ecopark với chính sách ưu đãi CK6% quà tặng 80tr,"Dự án The Fibonan Ecopark, Xã Xuân Quan, Văn Giang, Hưng Yên",Thỏa thuận,,2 phòng,Văn Giang,66 m²,,,Tây - Bắc,Đông - Nam,,2 phòng,Sổ đỏ/ Sổ hồng,20.962055206298828,105.93180084228516
